                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7146,                 3.1795,                 2.0524,                 1.3564,                 0.4307,                0.34576,                0.34976,                0.22906,                0.40118,                0.30886,                0.29887,                0.15686,                 1.6936,                  3.725,                 1.7374,                 1.2584,               0.067106,             3.2927e-05,             3.2927e-05
                      2,                 1.5199,                 2.6102,                 1.4941,                 1.2136,                0.49982,                0.47905,                0.48477,                0.32576,                0.50468,                0.48053,                0.48912,                0.31318,                 1.5715,                 2.4428,                 1.4213,                 1.2329,               0.033806,             6.6195e-05,             6.6195e-05
                      3,                 1.4783,                 2.5091,                 1.3847,                 1.1899,                0.58676,                0.50714,                0.52511,                0.35891,                0.59358,                0.51005,                0.52897,                 0.3472,                   1.55,                 2.1029,                  1.309,                 1.2252,             0.00050571,             9.9205e-05,             9.9205e-05
                      4,                 1.4435,                  2.412,                 1.3294,                 1.1805,                0.57262,                0.53453,                0.54766,                0.38168,                 0.5768,                0.54055,                0.55327,                0.37668,                 1.5358,                 2.1686,                 1.2458,                 1.2211,             9.9123e-05,             9.9123e-05,             9.9123e-05
                      5,                 1.4304,                 2.3881,                  1.286,                 1.1747,                0.64098,                0.48648,                0.54083,                0.37036,                0.64366,                0.48919,                0.54088,                0.36143,                   1.51,                  2.202,                 1.2686,                 1.1995,             9.9123e-05,             9.9123e-05,             9.9123e-05
                      6,                 1.4103,                 2.3348,                 1.2798,                 1.1651,                0.52505,                0.61233,                0.56777,                0.39237,                0.52871,                0.61684,                0.57437,                0.38603,                  1.524,                 2.1142,                  1.229,                 1.2049,             9.8445e-05,             9.8445e-05,             9.8445e-05
                      7,                 1.4136,                 2.3493,                 1.2439,                 1.1654,                0.49879,                0.56994,                0.56662,                  0.401,                0.53195,                0.55646,                0.56909,                0.38631,                 1.4896,                 2.1607,                 1.2515,                  1.185,             9.7577e-05,             9.7577e-05,             9.7577e-05
                      8,                 1.3838,                 2.2755,                 1.2302,                 1.1554,                0.56922,                0.58152,                0.56664,                0.40202,                0.57457,                0.58552,                0.57289,                0.39085,                 1.5119,                 2.0608,                 1.2351,                  1.204,             9.6524e-05,             9.6524e-05,             9.6524e-05
                      9,                 1.3762,                 2.2486,                 1.2075,                 1.1548,                0.51637,                 0.5904,                0.57074,                0.40193,                0.66067,                0.49961,                0.57042,                0.37389,                 1.4911,                 1.9772,                 1.2234,                  1.203,             9.5289e-05,             9.5289e-05,             9.5289e-05
                     10,                 1.3861,                 2.2797,                  1.228,                 1.1638,                0.56955,                0.58044,                0.57296,                0.40871,                0.57294,                0.58507,                0.57598,                 0.3897,                 1.4784,                 2.0583,                 1.2137,                 1.1831,             9.3877e-05,             9.3877e-05,             9.3877e-05
                     11,                 1.3658,                 2.2388,                 1.1823,                   1.14,                0.58939,                0.57206,                0.58871,                0.41815,                0.59286,                0.57703,                0.59107,                  0.408,                 1.4627,                 2.0724,                 1.1892,                 1.1799,             9.2294e-05,             9.2294e-05,             9.2294e-05
                     12,                 1.3788,                 2.2624,                 1.2046,                  1.142,                0.57754,                0.58855,                0.58487,                0.40952,                0.58005,                0.59104,                0.58576,                0.40038,                 1.4575,                 2.0173,                 1.1699,                 1.1706,             9.0546e-05,             9.0546e-05,             9.0546e-05
                     13,                 1.3508,                 2.1879,                 1.1716,                 1.1418,                0.59868,                0.59378,                0.59801,                0.42522,                0.60321,                0.60708,                0.60132,                0.41636,                 1.4397,                 2.0598,                 1.1587,                 1.1607,              8.864e-05,              8.864e-05,              8.864e-05
                     14,                 1.3495,                 2.2176,                 1.1678,                 1.1339,                0.58289,                0.60229,                0.60158,                  0.421,                0.59139,                0.61111,                0.60395,                0.41634,                 1.4684,                 2.0765,                 1.1421,                 1.1788,             8.6584e-05,             8.6584e-05,             8.6584e-05
                     15,                 1.3534,                 2.1951,                 1.1542,                 1.1317,                0.54764,                0.57331,                0.57885,                0.41082,                0.55253,                0.57872,                0.58519,                0.41381,                 1.4809,                 2.0622,                 1.1801,                 1.1846,             8.4385e-05,             8.4385e-05,             8.4385e-05
                     16,                 1.3411,                 2.1956,                 1.1611,                 1.1385,                0.59493,                0.61126,                0.59314,                0.41601,                0.60122,                0.61852,                0.59856,                 0.4091,                 1.4673,                 2.0388,                 1.1615,                  1.176,             8.2052e-05,             8.2052e-05,             8.2052e-05
                     17,                 1.3389,                 2.1833,                 1.1508,                 1.1355,                0.56536,                0.60391,                0.60072,                0.43478,                0.56817,                0.60786,                0.60465,                 0.4217,                 1.4345,                 2.0501,                 1.1508,                 1.1672,             7.9595e-05,             7.9595e-05,             7.9595e-05
                     18,                 1.3337,                 2.1688,                 1.1376,                  1.131,                0.56851,                  0.618,                0.59926,                0.42944,                0.58157,                0.62225,                0.60434,                0.41863,                 1.4484,                  1.989,                 1.1587,                 1.1583,             7.7023e-05,             7.7023e-05,             7.7023e-05
                     19,                 1.3365,                  2.163,                  1.136,                  1.125,                0.57981,                0.61087,                0.59483,                 0.4248,                0.58682,                0.61687,                0.60079,                 0.4097,                 1.4526,                 2.0381,                 1.1262,                 1.1699,             7.4347e-05,             7.4347e-05,             7.4347e-05
                     20,                 1.3193,                 2.1386,                  1.139,                 1.1275,                0.60999,                0.58533,                 0.6068,                 0.4288,                0.61901,                0.59105,                0.61175,                0.41112,                 1.4403,                 2.0439,                  1.126,                 1.1647,             7.1576e-05,             7.1576e-05,             7.1576e-05
                     21,                 1.3025,                 2.1155,                  1.114,                 1.1162,                0.59453,                 0.6092,                0.60095,                0.42285,                0.59848,                0.61973,                0.60862,                0.41673,                  1.441,                 1.9751,                 1.1317,                 1.1718,             6.8722e-05,             6.8722e-05,             6.8722e-05
                     22,                 1.3066,                 2.1113,                 1.0977,                  1.123,                 0.6131,                 0.6279,                 0.6083,                0.43355,                0.63049,                0.63005,                 0.6145,                0.43218,                  1.441,                 2.0413,                  1.123,                 1.1738,             6.5796e-05,             6.5796e-05,             6.5796e-05
                     23,                 1.3217,                 2.1338,                 1.1171,                  1.124,                0.63164,                 0.6016,                0.61059,                0.43457,                0.63605,                0.61068,                0.61788,                0.42436,                  1.436,                 1.9564,                 1.1195,                 1.1591,              6.281e-05,              6.281e-05,              6.281e-05
                     24,                 1.3224,                 2.1566,                 1.1263,                 1.1253,                0.63966,                0.59644,                0.61646,                 0.4381,                0.64434,                0.61412,                0.62514,                0.42748,                 1.4365,                  2.026,                 1.1057,                   1.16,             5.9775e-05,             5.9775e-05,             5.9775e-05
                     25,                 1.3134,                 2.1426,                 1.1061,                 1.1216,                0.64033,                0.58926,                  0.616,                0.44482,                0.63882,                0.60272,                 0.6208,                0.43308,                 1.4105,                  1.978,                  1.097,                 1.1557,             5.6704e-05,             5.6704e-05,             5.6704e-05
                     26,                 1.3078,                 2.1076,                 1.1042,                 1.1177,                0.62727,                0.59841,                0.61231,                0.43461,                0.62843,                0.59835,                0.61285,                0.42065,                 1.4317,                  1.996,                 1.1149,                 1.1578,             5.3608e-05,             5.3608e-05,             5.3608e-05
                     27,                 1.3075,                 2.1151,                 1.1088,                 1.1136,                0.58814,                0.61351,                 0.6234,                0.44607,                0.60051,                0.62575,                0.63108,                0.43254,                 1.4255,                 1.9608,                 1.1126,                 1.1605,               5.05e-05,               5.05e-05,               5.05e-05
                     28,                 1.2941,                 2.0617,                 1.0836,                 1.1091,                 0.5896,                0.62925,                0.62702,                0.45077,                 0.5972,                0.63716,                0.63292,                0.43447,                 1.4212,                 1.9676,                 1.0939,                 1.1512,             4.7392e-05,             4.7392e-05,             4.7392e-05
                     29,                 1.2864,                 2.0862,                 1.0837,                 1.1057,                0.59083,                0.63701,                0.62176,                0.44386,                0.60315,                0.64829,                0.62693,                0.42758,                 1.4447,                 2.1012,                  1.116,                 1.1606,             4.4296e-05,             4.4296e-05,             4.4296e-05
                     30,                 1.2953,                 2.0791,                 1.0848,                 1.1174,                0.64962,                0.60052,                 0.6259,                0.44563,                  0.659,                0.61027,                0.63273,                0.43289,                 1.4308,                 1.9499,                 1.0922,                 1.1557,             4.1225e-05,             4.1225e-05,             4.1225e-05
                     31,                 1.2711,                 2.0331,                 1.0582,                 1.0947,                  0.626,                0.63312,                0.62891,                0.45068,                0.63182,                0.63931,                0.63366,                0.42903,                 1.4168,                 1.9935,                 1.0858,                 1.1519,              3.819e-05,              3.819e-05,              3.819e-05
                     32,                 1.2773,                 2.0423,                 1.0501,                  1.102,                0.61139,                0.64422,                0.62782,                0.44976,                0.61444,                0.64727,                0.63074,                0.43848,                 1.4158,                 1.9646,                 1.0835,                 1.1464,             3.5204e-05,             3.5204e-05,             3.5204e-05
                     33,                 1.2743,                 2.0276,                 1.0551,                 1.0919,                0.60525,                0.64732,                0.62906,                0.45015,                0.61659,                0.63246,                0.63083,                0.43639,                 1.4193,                 1.9706,                 1.0802,                 1.1491,             3.2278e-05,             3.2278e-05,             3.2278e-05
                     34,                 1.2722,                 2.0484,                 1.0546,                 1.0987,                  0.637,                0.62128,                0.62791,                0.44931,                0.64381,                0.62545,                0.62882,                0.43538,                 1.4163,                 1.9904,                 1.0888,                 1.1481,             2.9424e-05,             2.9424e-05,             2.9424e-05
                     35,                 1.2741,                 2.0578,                 1.0646,                 1.0939,                0.64264,                0.60982,                0.63165,                0.45012,                0.65008,                0.61778,                0.63481,                0.44082,                 1.4149,                 2.0071,                 1.0787,                 1.1485,             2.6653e-05,             2.6653e-05,             2.6653e-05
                     36,                  1.284,                 2.0575,                 1.0596,                 1.1054,                0.65509,                0.59213,                0.62603,                0.44892,                0.63322,                0.62179,                0.63545,                0.43787,                 1.4062,                 2.0115,                 1.0758,                 1.1457,             2.3977e-05,             2.3977e-05,             2.3977e-05
                     37,                   1.27,                 2.0233,                 1.0397,                 1.0963,                0.65293,                0.61017,                 0.6288,                0.45398,                0.65784,                0.61525,                0.63586,                0.43916,                 1.4027,                 1.9526,                 1.0716,                 1.1429,             2.1405e-05,             2.1405e-05,             2.1405e-05
                     38,                 1.2589,                 2.0199,                 1.0484,                 1.0949,                0.61288,                0.65738,                0.63778,                 0.4594,                0.62029,                 0.6513,                0.64202,                0.44102,                  1.402,                   1.98,                 1.0629,                  1.144,             1.8948e-05,             1.8948e-05,             1.8948e-05
                     39,                 1.2631,                 2.0289,                 1.0374,                 1.0953,                0.61143,                0.63667,                 0.6349,                0.46008,                0.61791,                0.64347,                 0.6392,                0.44474,                 1.3906,                 1.9776,                 1.0705,                 1.1371,             1.6615e-05,             1.6615e-05,             1.6615e-05
                     40,                  1.264,                 2.0438,                 1.0454,                 1.0951,                0.65163,                0.62542,                0.63686,                0.45763,                0.66132,                0.62606,                0.64099,                0.44114,                 1.3968,                 1.9434,                 1.0702,                 1.1429,             1.4416e-05,             1.4416e-05,             1.4416e-05
                     41,                 1.3778,                 1.8205,                 1.1913,                 1.1369,                0.61357,                 0.6349,                0.62991,                   0.45,                0.62204,                0.63983,                0.63225,                0.43447,                 1.4028,                 2.0102,                 1.1009,                 1.1476,              1.236e-05,              1.236e-05,              1.236e-05
                     42,                 1.3551,                 1.8003,                  1.097,                 1.1189,                0.63121,                 0.6246,                0.63459,                0.45689,                0.63623,                0.62784,                0.63575,                0.44167,                 1.3792,                 1.9149,                 1.0839,                 1.1367,             1.0454e-05,             1.0454e-05,             1.0454e-05
                     43,                 1.3435,                 1.7818,                 1.0641,                 1.1234,                0.66805,                0.60743,                0.63468,                0.45906,                0.67606,                 0.6131,                0.63718,                0.44896,                 1.3956,                  1.951,                 1.0681,                 1.1414,             8.7058e-06,             8.7058e-06,             8.7058e-06
                     44,                 1.3476,                 1.7819,                 1.0589,                 1.1138,                0.65495,                0.62211,                0.63804,                0.46464,                0.66326,                0.62779,                0.64097,                0.44932,                  1.381,                 1.9339,                 1.0684,                 1.1351,             7.1228e-06,             7.1228e-06,             7.1228e-06
                     45,                 1.3485,                   1.77,                 1.0501,                 1.1145,                0.66534,                0.61402,                0.63942,                0.46251,                0.66714,                0.61829,                0.64108,                 0.4512,                 1.3798,                 1.9529,                 1.0656,                  1.135,             5.7111e-06,             5.7111e-06,             5.7111e-06
                     46,                 1.3371,                 1.7675,                  1.054,                 1.1117,                0.67474,                0.60582,                0.64062,                0.46352,                0.68668,                0.60942,                0.64546,                0.45136,                 1.3815,                 1.9348,                 1.0658,                 1.1326,             4.4761e-06,             4.4761e-06,             4.4761e-06
                     47,                 1.3329,                 1.7659,                 1.0465,                 1.1077,                0.66012,                0.62082,                0.64476,                0.46648,                0.67479,                0.61989,                0.64664,                0.45488,                 1.3744,                 1.9421,                 1.0605,                 1.1304,             3.4227e-06,             3.4227e-06,             3.4227e-06
                     48,                 1.3342,                 1.7604,                 1.0427,                  1.106,                0.66111,                0.61631,                0.64426,                 0.4678,                0.67028,                0.61856,                0.64716,                0.45436,                 1.3744,                 1.9365,                 1.0572,                 1.1306,             2.5551e-06,             2.5551e-06,             2.5551e-06
                     49,                 1.3351,                 1.7489,                 1.0381,                 1.1036,                0.67442,                0.61115,                0.64486,                0.46695,                0.67875,                0.61432,                0.64715,                0.45476,                 1.3783,                 1.9397,                 1.0567,                 1.1323,             1.8768e-06,             1.8768e-06,             1.8768e-06
                     50,                 1.3352,                 1.7536,                 1.0415,                  1.115,                0.67246,                0.61722,                0.64455,                 0.4658,                0.67499,                0.61562,                0.64751,                0.45355,                 1.3762,                 1.9251,                  1.055,                 1.1312,             1.3903e-06,             1.3903e-06,             1.3903e-06
